customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingTV,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,Yes,62,Two year,No,Credit card,Fiber optic,No,No,Yes,24.5,1519.0,No
CUST00002,Female,0,No,No,69,Month-to-month,Yes,Mailed check,DSL,Yes,Yes,Yes,35.79,2469.51,Yes
CUST00003,Male,0,No,No,63,Month-to-month,Yes,Mailed check,Fiber optic,Yes,Yes,Yes,117.58,7407.54,Yes
CUST00004,Male,1,Yes,No,2,Month-to-month,Yes,Bank transfer,Fiber optic,Yes,No,No,59.87,119.74,No
CUST00005,Male,0,Yes,Yes,54,Month-to-month,No,Electronic check,DSL,No,No,No,104.34,5634.36,No
CUST00006,Female,0,Yes,No,16,Two year,Yes,Bank transfer,Fiber optic,Yes,No,Yes,90.51,1448.16,No
CUST00007,Male,1,Yes,No,55,Two year,Yes,Electronic check,Fiber optic,No,No,No,80.54,4429.7,Yes
CUST00008,Male,0,No,Yes,43,Month-to-month,Yes,Credit card,Fiber optic,No,No,No,114.78,4935.54,Yes
CUST00009,Male,0,No,Yes,61,Month-to-month,Yes,Mailed check,DSL,Yes,Yes,No,43.04,2625.44,Yes
CUST00010,Female,1,No,Yes,38,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,No,65.49,2488.62,Yes
CUST00011,Male,0,No,Yes,45,Month-to-month,No,Electronic check,Fiber optic,Yes,Yes,No,106.47,4791.15,Yes
CUST00012,Male,1,Yes,No,51,Month-to-month,Yes,Credit card,DSL,No,No,Yes,75.18,3834.18,Yes
CUST00013,Male,0,No,Yes,42,Month-to-month,Yes,Credit card,DSL,Yes,No,No,44.64,1874.88,No
CUST00014,Male,0,Yes,No,24,Month-to-month,Yes,Mailed check,Fiber optic,No,No,Yes,40.89,981.36,Yes
CUST00015,Female,0,No,Yes,30,One year,Yes,Mailed check,Fiber optic,Yes,No,Yes,95.29,2858.7,No
CUST00016,Male,1,No,Yes,37,One year,No,Bank transfer,DSL,No,Yes,Yes,21.28,787.36,No
CUST00017,Female,0,No,No,53,Month-to-month,No,Electronic check,DSL,Yes,Yes,Yes,111.42,5905.26,Yes
CUST00018,Female,0,Yes,No,63,One year,Yes,Mailed check,Fiber optic,No,Yes,Yes,21.84,1375.92,No
CUST00019,Female,0,Yes,No,11,One year,Yes,Credit card,DSL,No,Yes,No,83.1,914.1,No
CUST00020,Male,0,No,Yes,23,Two year,Yes,Credit card,No,No,Yes,Yes,80.47,1850.81,No
CUST00021,Female,0,No,Yes,50,Month-to-month,No,Mailed check,DSL,Yes,No,Yes,77.84,3892.0,No
CUST00022,Male,0,No,No,55,Two year,No,Credit card,Fiber optic,No,No,Yes,67.43,3708.65,No
CUST00023,Female,0,Yes,No,55,Two year,Yes,Electronic check,DSL,No,Yes,No,105.24,5788.2,No
CUST00024,Female,0,Yes,Yes,4,Month-to-month,No,Credit card,No,No,No,No,85.93,343.72,Yes
CUST00025,Female,0,Yes,No,54,Month-to-month,No,Credit card,Fiber optic,Yes,No,No,98.19,5302.26,Yes
CUST00026,Female,0,No,No,61,Two year,No,Mailed check,No,No,No,No,31.55,1924.55,No
CUST00027,Female,0,Yes,Yes,5,One year,No,Electronic check,Fiber optic,No,Yes,Yes,24.99,124.95,No
CUST00028,Female,1,No,No,18,Two year,No,Electronic check,DSL,Yes,Yes,Yes,22.85,411.3,No
CUST00029,Female,0,Yes,Yes,44,One year,No,Bank transfer,DSL,No,Yes,Yes,34.72,1527.68,No
CUST00030,Female,1,No,Yes,31,One year,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,86.7,2687.7,Yes
CUST00031,Male,0,No,Yes,21,Month-to-month,No,Bank transfer,Fiber optic,Yes,No,Yes,69.4,1457.4,Yes
CUST00032,Male,0,Yes,No,47,Month-to-month,Yes,Mailed check,No,Yes,No,No,95.23,4475.81,Yes
CUST00033,Female,0,No,No,30,Two year,No,Credit card,DSL,Yes,No,Yes,39.17,1175.1,No
CUST00034,Female,0,No,No,55,Month-to-month,Yes,Electronic check,Fiber optic,No,No,No,56.7,3118.5,Yes
CUST00035,Female,0,No,No,68,Month-to-month,No,Bank transfer,No,Yes,No,Yes,108.85,7401.8,No
CUST00036,Male,0,Yes,Yes,69,One year,Yes,Electronic check,DSL,No,No,No,113.57,7836.33,No
CUST00037,Female,0,No,Yes,41,One year,Yes,Mailed check,Fiber optic,Yes,Yes,No,112.17,4598.97,Yes
CUST00038,Male,0,Yes,No,45,Month-to-month,No,Bank transfer,Fiber optic,No,No,No,101.83,4582.35,Yes
CUST00039,Male,0,Yes,No,30,Month-to-month,Yes,Bank transfer,Fiber optic,No,No,Yes,88.82,2664.6,Yes
CUST00040,Male,0,No,No,45,Month-to-month,Yes,Bank transfer,DSL,No,No,No,111.37,5011.65,Yes
CUST00041,Male,0,Yes,No,45,Month-to-month,No,Mailed check,DSL,No,No,Yes,91.42,4113.9,No
CUST00042,Male,0,No,Yes,45,One year,Yes,Bank transfer,DSL,No,No,Yes,115.39,5192.55,Yes
CUST00043,Female,0,Yes,No,55,Month-to-month,No,Credit card,No,Yes,Yes,No,22.48,1236.4,No
